country_clean,high_risk_probability,avg_fatal_probability,severe_damage_rate,total_accidents
Afghanistan,1.0,0.19983107267472183,0.8888888888888888,9
Antigua and Barbuda,1.0,0.06122833776918735,1.0,1
Armenia,1.0,0.2082836244636731,1.0,1
Aruba,1.0,0.3726562941664967,1.0,1
Central African Republic,1.0,0.0944791665879436,1.0,3
Chad,1.0,0.0498473392388428,1.0,1
Cameroon,1.0,0.5298970789550651,1.0,2
Bolivia,1.0,0.061972610599726266,1.0,2
Barbados,1.0,0.0507223133328023,1.0,1
Bulgaria,1.0,0.24374730277281276,1.0,2
Caribbean Netherlands,1.0,0.06962715941268721,1.0,1
Haiti,1.0,0.18922816676058024,1.0,2
Guinea,1.0,0.35366906966874534,0.5,2
Greenland,1.0,0.11482324715113369,1.0,1
Estonia,1.0,0.3575816074811268,1.0,1
El Salvador,1.0,0.07800781184942353,1.0,1
Equatorial Guinea,1.0,0.04295345336066445,1.0,1
Dominica,1.0,0.0723638612634065,1.0,1
Dominican Republic,1.0,0.6544850974588615,1.0,1
Ecuador,1.0,0.5214630352722958,1.0,4
Egypt,1.0,0.2802772276264231,1.0,4
Curaçao,1.0,0.35876149330984264,0.0,1
Côte d’Ivoire,1.0,0.4749230370196099,0.0,1
Costa Rica,1.0,0.24876849089462993,1.0,3
Comoros,1.0,0.23056827764246252,1.0,2
Suriname,1.0,0.07854709748056127,1.0,2
Poland,1.0,0.22250218982826162,1.0,7
Qatar,1.0,0.09705492093650159,1.0,1
Republic of the Congo,1.0,0.05956738016228876,1.0,2
Romania,1.0,0.17512416753459467,1.0,5
Sint Maarten,1.0,0.1272519201725001,1.0,1
Tajikistan,1.0,0.2974238081467281,1.0,1
Sri Lanka,1.0,0.6515593236112623,1.0,1
Zambia,1.0,0.05991713977666921,1.0,2
Uruguay,1.0,0.08826362612112082,1.0,1
Yemen,1.0,0.2018311168793931,1.0,5
São Tomé and Príncipe,1.0,0.06487891262476578,1.0,4
Zimbabwe,1.0,0.37838064954262696,1.0,2
Vanuatu,1.0,0.05569563737235532,1.0,4
Honduras,1.0,0.3022275715151822,1.0,10
Kyrgyzstan,1.0,0.29869219054049095,1.0,2
Micronesia,1.0,0.1148441062884387,1.0,3
Lithuania,1.0,0.24685697915062016,1.0,2
Lesotho,1.0,0.14701710321444642,1.0,1
Macau,1.0,0.037486706779026636,1.0,1
Malawi,1.0,0.5359017857116898,1.0,1
Madagascar,1.0,0.3886108652881829,1.0,1
Mongolia,1.0,0.44157447414839296,1.0,1
Mali,1.0,0.0678845074949032,1.0,5
Lebanon,1.0,0.05147311379977043,1.0,1
Kazakhstan,1.0,0.31190499652117526,1.0,19
Luxembourg,1.0,0.04878772463316134,1.0,1
Jordan,1.0,0.19413644739477315,1.0,2
Latvia,1.0,0.448111417898458,0.0,1
Nepal,1.0,0.5023508224545916,1.0,13
Namibia,1.0,0.09884690733893575,1.0,2
Montserrat,1.0,0.06906485538904747,1.0,2
Singapore,1.0,0.0938790343217419,1.0,2
Portugal,1.0,0.18399206327779044,1.0,5
Paraguay,1.0,0.0750929365331852,1.0,1
Peru,1.0,0.1339600862263152,1.0,13
Oman,1.0,0.07128413768525016,1.0,1
Serbia,1.0,0.12133324716914799,1.0,2
Slovakia,1.0,0.5244016266745071,1.0,3
Tonga,1.0,0.08896654436641178,1.0,1
Ukraine,1.0,0.2403999682607773,1.0,18
